epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
330, 2.763950e+11, 1.134422e+03, 5.616577e+11,6.093700e+06,2.176313e+03,1.319416e+02,9.869160e-02,6.369602e+06,2.253997e+03,1.333784e+02,9.866169e-02,1.012740e-01,-6.689872e-01,-1.767609e+00,1.147924e+01,1.703381e+00,2.600603e+00,7.304543e-01,3.287021e+00,9.882533e-01,1.489120e+00,9.275063e-01,2.163934e+00,-2.692540e+00,-1.225247e-01,0.649543,1,1,2.09612,-1.60512,0,-0.075724,0,0,
340, 5.432743e+11, 1.115573e+03, 3.962289e+11,6.101427e+06,2.177353e+03,1.319557e+02,9.754874e-02,6.369999e+06,2.253778e+03,1.333574e+02,9.860556e-02,1.010838e-01,-6.734821e-01,-1.790516e+00,1.165362e+01,1.705406e+00,2.604555e+00,7.263597e-01,3.295125e+00,9.932021e-01,1.495266e+00,9.273275e-01,2.162828e+00,-2.646172e+00,-1.005766e-01,0.644058,1,1,2.09638,-1.60538,0,-0.0757142,0,0,
350, 4.473943e+11, 1.091840e+03, 5.535276e+11,6.103865e+06,2.177666e+03,1.319667e+02,9.718811e-02,6.370218e+06,2.253717e+03,1.333578e+02,9.857459e-02,1.013011e-01,-6.779016e-01,-1.810784e+00,1.179591e+01,1.703964e+00,2.604403e+00,7.230185e-01,3.263545e+00,9.956872e-01,1.496282e+00,9.280240e-01,2.163753e+00,-2.610711e+00,-8.209898e-02,0.639653,1,1,2.09651,-1.60551,0,-0.0757114,0,0,
360, 5.058828e+11, 1.062644e+03, 2.207566e+11,6.094885e+06,2.176359e+03,1.319498e+02,9.851627e-02,6.369563e+06,2.253935e+03,1.333836e+02,9.866726e-02,1.011748e-01,-6.821129e-01,-1.828719e+00,1.195803e+01,1.710304e+00,2.614559e+00,7.192119e-01,3.170533e+00,9.890766e-01,1.481910e+00,9.300754e-01,2.176133e+00,-2.591933e+00,-6.526507e-02,0.63294,1,1,2.09745,-1.60645,0,-0.0757115,0,0,
370, 4.001370e+11, 1.032201e+03, 4.982207e+11,6.083526e+06,2.174627e+03,1.319348e+02,1.001963e-01,6.369679e+06,2.254342e+03,1.334291e+02,9.865082e-02,1.010268e-01,-6.863656e-01,-1.844182e+00,1.179689e+01,1.701293e+00,2.600264e+00,7.229957e-01,2.943129e+00,9.607863e-01,1.432053e+00,9.350906e-01,2.207559e+00,-2.585970e+00,-4.340447e-02,0.626684,1,1,2.09785,-1.60685,0,-0.0757127,0,0,
380, 2.140283e+11, 1.009218e+03, 5.344693e+11,6.103792e+06,2.177552e+03,1.319730e+02,9.719892e-02,6.370137e+06,2.253690e+03,1.333656e+02,9.858597e-02,1.014281e-01,-6.910051e-01,-1.857089e+00,1.189176e+01,1.700249e+00,2.604920e+00,7.207679e-01,2.887070e+00,9.551345e-01,1.418467e+00,9.363270e-01,2.255719e+00,-2.569035e+00,-3.089345e-02,0.619911,1,1,2.09814,-1.60714,0,-0.0757127,0,0,
390, 7.707376e+11, 1.001371e+03, 1.238507e+12,6.092927e+06,2.175952e+03,1.319528e+02,9.880587e-02,6.369392e+06,2.253952e+03,1.333987e+02,9.869135e-02,1.012689e-01,-6.950135e-01,-1.868538e+00,1.149338e+01,1.685371e+00,2.583544e+00,7.301224e-01,2.827736e+00,9.515432e-01,1.409194e+00,9.376356e-01,2.295660e+00,-2.568405e+00,6.258066e-03,0.614708,1,1,2.0985,-1.6075,0,-0.0757138,0,0,
400, 2.049264e+11, 9.783694e+02, 2.230697e+11,6.081826e+06,2.174269e+03,1.319410e+02,1.004478e-01,6.369748e+06,2.254393e+03,1.334451e+02,9.864101e-02,1.009257e-01,-6.989846e-01,-1.878523e+00,1.282429e+01,1.727216e+00,2.650125e+00,6.988711e-01,2.767739e+00,9.435986e-01,1.397245e+00,9.389588e-01,2.319285e+00,-2.584376e+00,-8.255206e-03,0.609186,1,1,2.09975,-1.60875,0,-0.0756255,0,0,
410, 1.641577e+11, 9.620703e+02, 4.772678e+11,6.105400e+06,2.177719e+03,1.319836e+02,9.696098e-02,6.370273e+06,2.253650e+03,1.333676e+02,9.856674e-02,1.014422e-01,-7.035527e-01,-1.886310e+00,1.246590e+01,1.701129e+00,2.617881e+00,7.072865e-01,2.669604e+00,9.310476e-01,1.376183e+00,9.411231e-01,2.336309e+00,-2.601016e+00,-7.065332e-03,0.600364,1,1,2.10698,-1.61598,0,-0.0755956,0,0,
420, 3.255854e+11, 9.406655e+02, 6.264248e+11,6.090434e+06,2.175479e+03,1.319534e+02,9.917460e-02,6.369225e+06,2.253983e+03,1.334136e+02,9.871504e-02,1.014195e-01,-7.075959e-01,-1.893108e+00,1.228506e+01,1.690152e+00,2.602710e+00,7.115329e-01,2.567283e+00,9.154994e-01,1.351080e+00,9.433798e-01,2.358383e+00,-2.615049e+00,-1.431444e-02,0.590996,1,1,2.11489,-1.62389,0,-0.0755812,0,0,
430, 1.596392e+11, 9.213051e+02, 2.309285e+11,6.083471e+06,2.174444e+03,1.319526e+02,1.002045e-01,6.369541e+06,2.254284e+03,1.334468e+02,9.867032e-02,1.010442e-01,-7.114265e-01,-1.901569e+00,1.208034e+01,1.685159e+00,2.594185e+00,7.163399e-01,2.540252e+00,9.143229e-01,1.346512e+00,9.439759e-01,2.385452e+00,-2.619709e+00,2.933203e-03,0.583945,1,1,2.11963,-1.62863,0,-0.0747088,0,0,
440, 3.128620e+11, 9.005419e+02, 1.646989e+11,6.108658e+06,2.178141e+03,1.320008e+02,9.647916e-02,6.370624e+06,2.253591e+03,1.333677e+02,9.851713e-02,1.011986e-01,-7.163019e-01,-1.921127e+00,1.249260e+01,1.703144e+00,2.620041e+00,7.066595e-01,2.514151e+00,9.147764e-01,1.344551e+00,9.445516e-01,2.409662e+00,-2.616745e+00,9.262292e-03,0.571538,1,1,2.12832,-1.63732,0,-0.0695522,0,0,
450, 5.089404e+11, 8.787561e+02, 2.319593e+11,6.085344e+06,2.174616e+03,1.319504e+02,9.992751e-02,6.369198e+06,2.254134e+03,1.334387e+02,9.871884e-02,1.015356e-01,-7.205298e-01,-1.929011e+00,1.224890e+01,1.697136e+00,2.610511e+00,7.123819e-01,2.434273e+00,9.017857e-01,1.321970e+00,9.463132e-01,2.428698e+00,-2.620760e+00,3.998424e-02,0.547981,1,1,2.14783,-1.65683,0,-0.0675151,0,0,
460, 4.296945e+12, 8.729105e+02, 3.105536e+13,6.091289e+06,2.175580e+03,1.319724e+02,9.904825e-02,6.369246e+06,2.253960e+03,1.334235e+02,9.871205e-02,1.012296e-01,-7.243299e-01,-1.931402e+00,1.101612e+01,1.682249e+00,2.568067e+00,7.413290e-01,2.447685e+00,9.080960e-01,1.328301e+00,9.460174e-01,2.445472e+00,-2.635350e+00,5.932418e-02,0.53208,1,1,2.15668,-1.66568,0,-0.0667928,0,0,
470, 6.099267e+11, 8.390718e+02, 8.195029e+11,6.107981e+06,2.178037e+03,1.320100e+02,9.657930e-02,6.370463e+06,2.253593e+03,1.333752e+02,9.853982e-02,1.010858e-01,-7.286928e-01,-1.930924e+00,1.225294e+01,1.728052e+00,2.649273e+00,7.122869e-01,2.335732e+00,8.918892e-01,1.302019e+00,9.484865e-01,2.460320e+00,-2.661456e+00,6.298721e-02,0.522206,1,1,2.15991,-1.66891,0,-0.0665377,0,0,
480, 6.512631e+11, 8.540733e+02, 3.664175e+11,6.087874e+06,2.174948e+03,1.319597e+02,9.955323e-02,6.369029e+06,2.254000e+03,1.334318e+02,9.874275e-02,1.014911e-01,-7.332107e-01,-1.929398e+00,1.102816e+01,1.677917e+00,2.558300e+00,7.410461e-01,2.349947e+00,8.955171e-01,1.306602e+00,9.481730e-01,2.471689e+00,-2.697154e+00,5.829131e-02,0.514509,1,1,2.1612,-1.6702,0,-0.0664303,0,0,
490, 2.606180e+11, 8.250259e+02, 2.331144e+11,6.085813e+06,2.174670e+03,1.319679e+02,9.985812e-02,6.369196e+06,2.254105e+03,1.334463e+02,9.871909e-02,1.012213e-01,-7.369446e-01,-1.928201e+00,1.243816e+01,1.707952e+00,2.628744e+00,7.079379e-01,2.213350e+00,8.694677e-01,1.266708e+00,9.511856e-01,2.488835e+00,-2.725974e+00,6.088824e-02,0.505775,1,1,2.16191,-1.67091,0,-0.0663805,0,0,
