epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
230, 1.891342e+11, -3.047715e+03, 9.138552e+10,3.839572e+05,4.427298e+02,1.513926e+01,9.374357e-01,1.697793e+05,2.937352e+02,1.042495e+01,9.753025e-01,2.397057e+00,-1.206623e+00,-9.738542e-02,4.895335e+01,4.757613e+00,7.234341e+00,-7.049608e-01,4.017205e+00,1.114969e+00,1.752789e+00,9.034000e-01,2.033610e+00,-2.876480e+00,-8.284951e-02,0.306892,1,1,2.53247,-2.04147,0,0.291378,0,0,
240, 4.815686e+11, -3.188417e+03, 1.994054e+11,3.766409e+05,4.364023e+02,1.503886e+01,9.386278e-01,1.576171e+05,2.855074e+02,1.006448e+01,9.770717e-01,2.509951e+00,-1.206392e+00,-1.112884e-01,5.674847e+01,4.801364e+00,7.295307e+00,-9.764514e-01,3.951705e+00,1.109381e+00,1.742263e+00,9.049750e-01,2.052353e+00,-2.911093e+00,-7.821384e-02,0.306884,1,1,2.53249,-2.04149,0,0.291379,0,0,
250, 2.821837e+11, -3.305033e+03, 1.816740e+11,3.757739e+05,4.356204e+02,1.502516e+01,9.387691e-01,1.562875e+05,2.844535e+02,1.002556e+01,9.772651e-01,2.619395e+00,-1.207757e+00,-1.222755e-01,5.909522e+01,4.878592e+00,7.403484e+00,-1.058185e+00,3.810830e+00,1.090708e+00,1.711772e+00,9.083626e-01,2.061833e+00,-2.939571e+00,-6.999422e-02,0.306846,1,1,2.5326,-2.0416,0,0.291379,0,0,
260, 7.179005e+11, -3.407208e+03, 7.222212e+11,3.749299e+05,4.347633e+02,1.500622e+01,9.389066e-01,1.585574e+05,2.865460e+02,1.011785e+01,9.769349e-01,2.724469e+00,-1.210659e+00,-1.315287e-01,5.822061e+01,4.915607e+00,7.433090e+00,-1.027724e+00,3.683262e+00,1.074358e+00,1.685323e+00,9.114302e-01,2.079542e+00,-2.961112e+00,-8.064345e-02,0.306734,1,1,2.53299,-2.04199,0,0.291354,0,0,
270, 3.145019e+11, -3.395556e+03, 2.732780e+10,3.891978e+05,4.497665e+02,1.546161e+01,9.365817e-01,1.902187e+05,3.090168e+02,1.114039e+01,9.723292e-01,2.821278e+00,-1.211958e+00,-1.424706e-01,5.682999e+01,4.918752e+00,7.472294e+00,-9.792904e-01,3.584984e+00,1.059706e+00,1.661104e+00,9.137934e-01,2.106988e+00,-2.974066e+00,-8.297027e-02,0.306668,1,1,2.53321,-2.04221,0,0.291335,0,0,
280, 3.772330e+11, -3.585283e+03, 1.075797e+11,3.750020e+05,4.357994e+02,1.501818e+01,9.388949e-01,1.556851e+05,2.825248e+02,9.987590e+00,9.773527e-01,2.910913e+00,-1.216535e+00,-1.510892e-01,6.384545e+01,4.971868e+00,7.500178e+00,-1.223627e+00,3.592309e+00,1.063906e+00,1.666021e+00,9.136173e-01,2.132356e+00,-2.978340e+00,-7.052728e-02,0.306642,1,1,2.53329,-2.04229,0,0.291328,0,0,
290, 2.004062e+11, -3.679185e+03, 1.194448e+11,3.706138e+05,4.327222e+02,1.484598e+01,9.396099e-01,1.489027e+05,2.774338e+02,9.710630e+00,9.783394e-01,2.998207e+00,-1.225219e+00,-1.594752e-01,6.046982e+01,4.871422e+00,7.368762e+00,-1.106059e+00,3.547616e+00,1.058362e+00,1.655301e+00,9.146920e-01,2.144116e+00,-2.983133e+00,-5.026023e-02,0.306619,1,1,2.53337,-2.04237,0,0.291326,0,0,
300, 3.417640e+11, -3.735267e+03, 1.788828e+14,3.706035e+05,4.348064e+02,1.482881e+01,9.396116e-01,1.473714e+05,2.742456e+02,9.544749e+00,9.785621e-01,3.082892e+00,-1.236767e+00,-1.725112e-01,5.671711e+01,4.910492e+00,7.425588e+00,-9.753590e-01,3.533777e+00,1.057766e+00,1.653062e+00,9.150248e-01,2.150230e+00,-2.982130e+00,-5.217330e-02,0.306591,1,1,2.53348,-2.04248,0,0.291324,0,0,
310, 1.769200e+11, -3.799836e+03, 2.897867e+11,3.690396e+05,4.339667e+02,1.479582e+01,9.398664e-01,1.440108e+05,2.713444e+02,9.472077e+00,9.790510e-01,3.162839e+00,-1.248167e+00,-1.939257e-01,5.070692e+01,4.788039e+00,7.295822e+00,-7.660347e-01,3.509305e+00,1.056673e+00,1.649511e+00,9.156133e-01,2.155293e+00,-2.977118e+00,-4.083847e-02,0.306577,1,1,2.53352,-2.04252,0,0.291323,0,0,
320, 4.559068e+10, -3.743758e+03, 6.272890e+10,3.676744e+05,4.349406e+02,1.484300e+01,9.400889e-01,1.634289e+05,2.912276e+02,1.027451e+01,9.762263e-01,3.238428e+00,-1.265099e+00,-2.146871e-01,5.957769e+01,4.999325e+00,7.574606e+00,-1.074988e+00,3.466076e+00,1.054321e+00,1.643672e+00,9.166527e-01,2.163066e+00,-2.970861e+00,-2.592553e-02,0.306568,1,1,2.53355,-2.04255,0,0.291323,0,0,
