epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
400, -4.169632e+03, -4.169632e+03, 0.000000e+00,1.643380e+06,8.385281e+02,3.524535e+01,7.376683e-01,1.322656e+05,2.609074e+02,9.119401e+00,9.808398e-01,3.706016e+00,-1.481348e+00,-2.879868e-01,3.876573e+01,3.158194e+00,5.656684e+00,7.142557e-02,2.298359e+00,8.789278e-01,1.354893e+00,9.460194e-01,2.477388e+00,-2.862007e+00,6.170954e-02,
410, -4.139449e+03, -4.139449e+03, 0.000000e+00,1.697140e+06,8.431474e+02,3.504622e+01,7.290867e-01,1.383504e+05,2.653541e+02,9.309714e+00,9.799584e-01,3.735988e+00,-1.488184e+00,-3.051966e-01,3.905099e+01,3.156514e+00,5.616709e+00,6.459238e-02,2.262747e+00,8.755225e-01,1.348628e+00,9.468558e-01,2.498621e+00,-2.882546e+00,4.376046e-02,
420, -4.272399e+03, -4.272399e+03, 0.000000e+00,1.642967e+06,8.347606e+02,3.467668e+01,7.377343e-01,1.227143e+05,2.509827e+02,8.761617e+00,9.822234e-01,3.761634e+00,-1.503775e+00,-3.108951e-01,4.202749e+01,3.297724e+00,5.912528e+00,-6.705012e-03,2.208137e+00,8.609934e-01,1.325251e+00,9.481384e-01,2.517390e+00,-2.901553e+00,4.924297e-02,
430, -4.275668e+03, -4.275668e+03, 0.000000e+00,1.594973e+06,8.265074e+02,3.441295e+01,7.453956e-01,1.204474e+05,2.495221e+02,8.702839e+00,9.825518e-01,3.789638e+00,-1.532843e+00,-3.045376e-01,4.823148e+01,3.449400e+00,6.176628e+00,-1.553124e-01,2.252045e+00,8.746026e-01,1.344861e+00,9.471071e-01,2.523431e+00,-2.940464e+00,3.628205e-02,
440, -4.299099e+03, -4.299099e+03, 0.000000e+00,1.622182e+06,8.306802e+02,3.444028e+01,7.410521e-01,1.198463e+05,2.488738e+02,8.687850e+00,9.826389e-01,3.818527e+00,-1.557986e+00,-3.056298e-01,3.883430e+01,3.140033e+00,5.647752e+00,6.978305e-02,2.109103e+00,8.479819e-01,1.303862e+00,9.504644e-01,2.529216e+00,-2.978521e+00,5.867748e-03,
450, -4.318073e+03, -4.318073e+03, 0.000000e+00,1.618831e+06,8.295848e+02,3.438210e+01,7.415871e-01,1.207207e+05,2.497807e+02,8.719762e+00,9.825122e-01,3.845406e+00,-1.577998e+00,-3.136935e-01,4.089446e+01,3.186143e+00,5.746268e+00,2.043492e-02,2.114512e+00,8.502390e-01,1.306182e+00,9.503373e-01,2.546020e+00,-2.976642e+00,3.128179e-02,
460, -4.355929e+03, -4.355929e+03, 0.000000e+00,1.583805e+06,8.228346e+02,3.416693e+01,7.471782e-01,1.186797e+05,2.474700e+02,8.634702e+00,9.828079e-01,3.862230e+00,-1.591845e+00,-3.257124e-01,4.071588e+01,3.203170e+00,5.761655e+00,2.471261e-02,2.025038e+00,8.319482e-01,1.278189e+00,9.524388e-01,2.558290e+00,-2.987557e+00,6.077379e-02,
470, -4.318992e+03, -4.318992e+03, 0.000000e+00,1.574477e+06,8.182200e+02,3.374943e+01,7.486673e-01,1.233505e+05,2.526076e+02,8.849141e+00,9.821313e-01,3.873148e+00,-1.615446e+00,-3.258190e-01,4.159796e+01,3.224600e+00,5.813344e+00,3.583544e-03,2.055988e+00,8.428151e-01,1.294940e+00,9.517118e-01,2.571574e+00,-2.998885e+00,4.311896e-02,
480, -4.394407e+03, -4.394407e+03, 0.000000e+00,1.537724e+06,8.113596e+02,3.359002e+01,7.545341e-01,1.161362e+05,2.458788e+02,8.578091e+00,9.831763e-01,3.887441e+00,-1.642947e+00,-3.220824e-01,4.134821e+01,3.206162e+00,5.783952e+00,9.566047e-03,1.980747e+00,8.312506e-01,1.275967e+00,9.534790e-01,2.587081e+00,-3.011841e+00,5.035295e-02,
490, -4.391940e+03, -4.391940e+03, 0.000000e+00,1.515294e+06,8.064097e+02,3.347032e+01,7.581147e-01,1.168583e+05,2.469159e+02,8.609202e+00,9.830717e-01,3.904199e+00,-1.663918e+00,-3.267295e-01,4.491459e+01,3.353395e+00,6.028660e+00,-7.586116e-02,1.964996e+00,8.359587e-01,1.280501e+00,9.538489e-01,2.603148e+00,-3.031052e+00,8.292690e-02,
