epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
240, 1.901638e+03, 1.901638e+03, 0.000000e+00,5.828728e+06,2.115165e+03,1.591477e+02,3.479832e-02,6.257697e+06,2.213226e+03,1.870450e+02,3.855005e-02,3.809537e-02,-3.208774e-01,-8.088107e-01,1.799212e+01,2.072232e+00,3.664054e+00,6.565510e-01,7.606071e+00,1.469681e+00,2.345193e+00,7.664343e-01,1.506035e+00,-3.175844e+00,8.614038e-02,
250, 1.698005e+03, 1.698005e+03, 0.000000e+00,5.740818e+06,2.095406e+03,1.580287e+02,4.935579e-02,6.163521e+06,2.195498e+03,1.856601e+02,5.301950e-02,5.382769e-02,-3.769581e-01,-1.021954e+00,1.502086e+01,1.894687e+00,3.286314e+00,7.132689e-01,5.554994e+00,1.256630e+00,1.987293e+00,8.294184e-01,1.356149e+00,-3.423052e+00,2.875626e-01,
260, 1.480056e+03, 1.480056e+03, 0.000000e+00,5.011240e+06,1.873108e+03,1.409366e+02,1.701693e-01,5.178097e+06,1.909613e+03,1.578627e+02,2.044228e-01,1.601066e-01,-5.414024e-01,-1.038241e+00,1.404593e+01,1.837317e+00,3.188112e+00,7.318793e-01,4.665742e+00,1.152652e+00,1.818043e+00,8.567253e-01,1.353134e+00,-3.596256e+00,2.095899e-01,
270, 1.302579e+03, 1.302579e+03, 0.000000e+00,4.630541e+06,1.760888e+03,1.301116e+02,2.332108e-01,4.626392e+06,1.766608e+03,1.415601e+02,2.891883e-01,2.915728e-01,-7.061024e-01,-9.479178e-01,1.380931e+01,1.803267e+00,3.142976e+00,7.363960e-01,3.952312e+00,1.061470e+00,1.670332e+00,8.786332e-01,1.473986e+00,-3.685704e+00,-7.079732e-03,
280, 8.971413e+02, 8.971413e+02, 0.000000e+00,3.489113e+06,1.475979e+03,9.670264e+01,4.222243e-01,3.456630e+06,1.490190e+03,1.081518e+02,4.689137e-01,4.936318e-01,-8.539319e-01,-8.620268e-01,1.311624e+01,1.758888e+00,3.063850e+00,7.496259e-01,3.749347e+00,1.039347e+00,1.635141e+00,8.848658e-01,1.628380e+00,-3.726165e+00,-1.631671e-01,
290, 6.275794e+02, 6.275794e+02, 0.000000e+00,2.947787e+06,1.304274e+03,8.032462e+01,5.118646e-01,2.910632e+06,1.319810e+03,8.701883e+01,5.528025e-01,7.661724e-01,-1.050715e+00,-6.343068e-01,1.311280e+01,1.748247e+00,3.031995e+00,7.496916e-01,3.391312e+00,9.918913e-01,1.553950e+00,8.958603e-01,1.752112e+00,-3.767505e+00,-1.465944e-01,
300, 5.596655e+02, 5.596655e+02, 0.000000e+00,2.812501e+06,1.267878e+03,7.615749e+01,5.342670e-01,2.736543e+06,1.269303e+03,8.213266e+01,5.795500e-01,8.602892e-01,-1.179021e+00,-4.661970e-01,1.307035e+01,1.734808e+00,3.015503e+00,7.505020e-01,2.675982e+00,8.965039e-01,1.393531e+00,9.178265e-01,1.838982e+00,-3.811886e+00,-6.944323e-02,
310, 5.060305e+02, 5.060305e+02, 0.000000e+00,2.754123e+06,1.246121e+03,7.450986e+01,5.439340e-01,2.704273e+06,1.255083e+03,8.147491e+01,5.845079e-01,8.390883e-01,-1.215490e+00,-4.311490e-01,1.205336e+01,1.694675e+00,2.907486e+00,7.699151e-01,2.660516e+00,8.869007e-01,1.380514e+00,9.183014e-01,1.928186e+00,-3.827514e+00,-6.273056e-02,
320, 4.804265e+02, 4.804265e+02, 0.000000e+00,2.716259e+06,1.235693e+03,7.318938e+01,5.502042e-01,2.675018e+06,1.246969e+03,8.036526e+01,5.890027e-01,8.443774e-01,-1.241150e+00,-3.969963e-01,1.215915e+01,1.693608e+00,2.919868e+00,7.678958e-01,2.460254e+00,8.617985e-01,1.336311e+00,9.244510e-01,1.995217e+00,-3.843512e+00,-8.068449e-02,
330, 4.573580e+02, 4.573580e+02, 0.000000e+00,2.678409e+06,1.229016e+03,7.202745e+01,5.564719e-01,2.655769e+06,1.244116e+03,7.943754e+01,5.919603e-01,8.680023e-01,-1.254324e+00,-3.739311e-01,1.230339e+01,1.708523e+00,2.946165e+00,7.651424e-01,2.356701e+00,8.447399e-01,1.307949e+00,9.276309e-01,2.043556e+00,-3.867227e+00,-7.285165e-02,
